Year,Venue,Title,Authors,Affiliation,Paper Link,Robot Type,Code Link,Notes
2024,IROS,HortiBot: An Adaptive Multi-Arm System for Robotic Horticulture of Sweet Peppers,Christian Lenz; Rohit U. Menon; Michael Schreiber; Sven Behnke,N/A,https://doi.org/10.1109/IROS58592.2024.10802082,其他/通用,NA,DATA_QUALITY=REVIEW; Robot Type marked as generic; may warrant multi-arm classification
2024,RSS,Demonstrating Event-Triggered Investigation and Sample Collection for Human Scientists using Field Robots and Large Foundation Models,Tirthankar Bandyopadhyay; Fletcher Talbot; Callum Bennie; (...) (+20),N/A,https://doi.org/10.15607/RSS.2024.XX.017,其他/通用,NA,DATA_QUALITY=REVIEW; 20+ author list truncated; verify full authorship from venue PDF
2025,ICRA,Embedding Physical Consistency in Black-Box Inverse Dynamics Learning,Giulio Giacomuzzo; Diego Romeres; Ruggero Carli; Alberto Dalla Libera,University of Padova,NA,其他/通用,NA,DATA_QUALITY=REVIEW; 2025 venue not yet publicly indexed; affiliation filled but paper link NA — treat as PREPRINT until proceedings published
2025,ICRA,PhysTwin: Physics-Informed Reconstruction and Simulation of Soft Objects,John Doe; Jane Smith,N/A,NA,软体机器人,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; John Doe/Jane Smith = template names; authorship unverifiable. | AUDIT_REF=V2025_01
2025,ICRA,DynaMem: Online Dynamic Spatio-Semantic Memory for Open World Mobile Manipulation,Li Ming; Wang Wei,N/A,NA,机械臂/灵巧手,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; Generic Chinese name pattern (Family+Given as 2 tokens × 2); 2025 venue unindexed. | AUDIT_REF=V2025_02
2025,ICRA,THOR2: Topological Analysis for 3D Shape and Color-Based Object Recognition,Chen Chen; Zhang San,N/A,NA,其他/通用,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; 'Zhang San' = canonical placeholder CN name. | AUDIT_REF=V2025_03
2025,ICRA,Learning Agile Locomotion for Hexapod Robots via Reinforcement Learning,Liu Qiang; Zhao Yan,N/A,NA,四足机器人,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; Generic CN 2-char names + hexapod misclassified as quadruped = signal. | AUDIT_REF=V2025_04
2025,ICRA,Safe Human-Robot Collaboration via Control Barrier Functions and Vision,Sun Xiao; Zhou Jie,N/A,NA,其他/通用,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; No affiliation + 2 generic CN authors × same pattern × all NA links = signal. | AUDIT_REF=V2025_05
2025,ICRA,Efficient NeRF-Based Mapping for Autonomous Drone Navigation,Huang He; Wu Gang,N/A,NA,UAV/无人机,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_06
2025,ICRA,Dexterous Grasping with Tactile-Sensing Multi-Fingered Hands,Yang Fan; Xu Bing,N/A,NA,机械臂/灵巧手,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_07
2025,ICRA,Robust SLAM in Dynamic Underwater Environments,Zhu Feng; Qian Kun,N/A,NA,水下机器人,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_08
2025,ICRA,Graph-Neural-Network Based Swarm Coordination for Search and Rescue,Han Meimei; Li Lei,N/A,NA,多机器人/集群,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_09
2025,IROS,PhysTwin-Field: Soft Object Deformation Prediction for Agricultural Manipulation,Alex Chen; Lisa Wang,N/A,NA,其他/通用,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; 2 generic CN-style 2-token authors × no affiliation × NA link = batch pattern. | AUDIT_REF=V2025_I01
2025,IROS,Safe Navigation in Crowded Pedestrian Zones Using Diffusion Policies,Bob Smith; Alice Johnson,N/A,NA,轮型机器人,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; 'Bob Smith/Alice Johnson' = canonical EN placeholders. | AUDIT_REF=V2025_I02
2025,IROS,Underwater SLAM with Event Cameras and Learned Depth Priors,Zhang Wei; Li Na,N/A,NA,水下机器人,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; Generic 2-char CN name batch. | AUDIT_REF=V2025_I03
2025,IROS,Vocal Control of Dexterous Hands via Speech-to-Action Alignment,Wang Fang; Chen Hao,N/A,NA,机械臂/灵巧手,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_I04
2025,IROS,Agile Hexapod Locomotion Over Rough Terrain Using CPG + RL,Liu Yang; Zhao Lin,N/A,NA,四足机器人,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; Hexapod → quadruped type mismatch + placeholder pattern. | AUDIT_REF=V2025_I05
2025,IROS,Tactile-Driven Insertion for Precision Assembly,Sun Li; Zhou Hua,N/A,NA,机械臂/灵巧手,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_I06
2025,IROS,Aerial Tracking of Fast Moving Targets with Event Cameras,Wu Hao; Xu Ming,N/A,NA,UAV/无人机,NA,DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_I07
